Cooling Degree Days Middle Atlantic Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_MAC.M
22:28:21 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_MAC.M total degree days
Sep 2009,37.580674962
Aug 2009,237.22200537
Jul 2009,153.95973023
Jun 2009,72.99438739
May 2009,21.03750687
Apr 2009,0
Mar 2009,0
Feb 2009,0
Jan 2009,0
Dec 2008,0
Nov 2008,0
Oct 2008,0.64478459504
Sep 2008,71.277972487
Aug 2008,145.16890034
Jul 2008,267.82966875
Jun 2008,175.78504028
May 2008,5.6822645978
Apr 2008,0
Mar 2008,0
Feb 2008,0
Jan 2008,0
Dec 2007,0
Nov 2007,0
Oct 2007,26.958605043
Sep 2007,82.509214796
Aug 2007,215.03147005
Jul 2007,201.2980269
Jun 2007,134.06277958
May 2007,33.560681149
Apr 2007,0
Mar 2007,0
Feb 2007,0
Jan 2007,0
Dec 2006,0
Nov 2006,0
Oct 2006,0.64501175127
Sep 2006,33.396065721
Aug 2006,223.1506742
Jul 2006,300.32297101
Jun 2006,115.24911358
May 2006,20.332038772
Apr 2006,0
Mar 2006,0
Feb 2006,0
Jan 2006,0
Dec 2005,0
Nov 2005,0
Oct 2005,3.9550605423
Sep 2005,121.44582594
Aug 2005,292.90428487
Jul 2005,287.12267497
Jun 2005,183.36619629
May 2005,2.8111473321
Apr 2005,0
Mar 2005,0
Feb 2005,0
Jan 2005,0
Dec 2004,0
Nov 2004,0
Oct 2004,0.64452311523
Sep 2004,75.178265598
Aug 2004,173.83460873
Jul 2004,193.68416408
Jun 2004,87.264675027
May 2004,60.342977825
Apr 2004,0
Mar 2004,0
Feb 2004,0
Jan 2004,0
Dec 2003,0
Nov 2003,0
Oct 2003,0
Sep 2003,59.717711545
Aug 2003,252.66154605
Jul 2003,227.09131972
Jun 2003,68.385697204
May 2003,6.8939818738
Apr 2003,0
Mar 2003,0
Feb 2003,0
Jan 2003,0
Dec 2002,0
Nov 2002,0
Oct 2002,0.85567315334
Sep 2002,86.422052102
Aug 2002,267.71478239
Jul 2002,287.05203864
Jun 2002,119.89012971
May 2002,8.9536092285
Apr 2002,0
Mar 2002,0
Feb 2002,0
Jan 2002,0
Dec 2001,0
Nov 2001,0
Oct 2001,2.7348719976
Sep 2001,41.178266135
Aug 2001,273.91444587
Jul 2001,148.0267661
Jun 2001,134.07787682
May 2001,23.470054225
Apr 2001,0
Mar 2001,0
Feb 2001,0
Jan 2001,0
Dec 2000,0
Nov 2000,0
Oct 2000,2.0860310491
Sep 2000,33.771694009
Aug 2000,146.88265601
Jul 2000,135.04204251
Jun 2000,111.86391181
May 2000,27.862497076
Apr 2000,0
Mar 2000,0
Feb 2000,0
Jan 2000,0
Dec 1999,0
Nov 1999,0
Oct 1999,0
Sep 1999,70.380973919
Aug 1999,197.68561413
Jul 1999,340.01492683
Jun 1999,144.16313622
May 1999,22.09356672
Apr 1999,0
Mar 1999,0
Feb 1999,0
Jan 1999,0
Dec 1998,0
Nov 1998,0
Oct 1998,1.7783289832
Sep 1998,84.228416551
Aug 1998,228.81134979
Jul 1998,221.02934711
Jun 1998,86.364868616
May 1998,47.826243894
Apr 1998,0
Mar 1998,0
Feb 1998,0
Jan 1998,0
Dec 1997,0
Nov 1997,0
Oct 1997,0.63149080962
Sep 1997,35.145775323
Aug 1997,149.21069893
Jul 1997,210.09209051
Jun 1997,91.382414089
May 1997,2.7169816649
Apr 1997,0
Mar 1997,0
Feb 1997,0
Jan 1997,0
Dec 1996,0
Nov 1996,0
Oct 1996,0.62880737716
Sep 1996,51.690428152
Aug 1996,177.31775426
Jul 1996,163.22984707
Jun 1996,123.9484644
May 1996,8.5553810047
Apr 1996,0
Mar 1996,0
Feb 1996,0
Jan 1996,0
Dec 1995,0
Nov 1995,0
Oct 1995,7.2974961778
Sep 1995,38.801657867
Aug 1995,245.95147277
Jul 1995,283.43766696
Jun 1995,116.45299879
May 1995,11.078920971
Apr 1995,0
Mar 1995,0
Feb 1995,0
Jan 1995,0
Dec 1994,0
Nov 1994,0
Oct 1994,0
Sep 1994,33.368114971
Aug 1994,129.72716991
Jul 1994,295.42193877
Jun 1994,162.88666998
May 1994,7.1890254591
Apr 1994,0
Mar 1994,0
Feb 1994,0
Jan 1994,0
Dec 1993,0
Nov 1993,0
Oct 1993,0
Sep 1993,38.479295492
Aug 1993,214.43761815
Jul 1993,279.73531077
Jun 1993,100.52622707
May 1993,25.504958922
Apr 1993,0
Mar 1993,0
Feb 1993,0
Jan 1993,0
Dec 1992,0
Nov 1992,0
Oct 1992,0
Sep 1992,35.425463729
Aug 1992,111.8682105
Jul 1992,167.36383772
Jun 1992,59.089789654
May 1992,9.2624955885
Apr 1992,0
Mar 1992,0
Feb 1992,0
Jan 1992,0
Dec 1991,0
Nov 1991,0
Oct 1991,2.4124543317
Sep 1991,36.04192401
Aug 1991,230.78468094
Jul 1991,251.47140013
Jun 1991,144.68844365
May 1991,73.153069045
Apr 1991,0
Mar 1991,0
Feb 1991,0
Jan 1991,0
Dec 1990,0
Nov 1990,0
Oct 1990,9.0602750331
Sep 1990,33.310035809
Aug 1990,186.33479514
Jul 1990,224.62258435
Jun 1990,101.52608074
May 1990,6.5341690388
Apr 1990,0
Mar 1990,0
Feb 1990,0
Jan 1990,0
