"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"06000","California","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",42516,43118,43183,44134,45309,45383,45789,45787,47207,47706,47601,50047,47636,48360,48757,49389,50007,50870,51871,52539,53725,54486,54924,55402,56173,56366,56827,57302,58261,58659,59085,59784,60593,61361,62112,62622,63784,64253,64637,65357,66743,71112,72439,70372,77642,74304
"08000","Colorado","1","Personal income (millions of dollars, seasonally adjusted)",141121.1,145879.1,150108.2,151861.2,155300.5,155294.1,153855.6,153327.9,153075.6,154402.8,154736.3,156343.8,155143.1,156687.2,160077.4,159499.9,160084.9,162888.5,164105.1,168413.2,170539.1,173689.7,176949.8,179098.1,186395.1,188060.6,191064.8,192341.5,196742.9,201339.9,203108.2,207272.8,205740.8,212560.5,212203.9,209612.4,203426.1,198957.3,197102.2,197920.6,200491.0,203437.7,207282.3,212253.5,219877.0,222351.3,225470.3,226272.0,232093.1,234958.8,234350.9,245633.6,243637.9,247909.1,251338.8,255164.9,263910.9,269442.8,273541.6,278745.3,282504.1,284908.1,285414.5,286520.6,286085.9,287848.7,290572.9,294184.4,302294.4,306813.6,311447.6,318075.0,324777.9,329428.8,335094.0,338520.8,347555.4,349214.1,350561.7,354229.2,360736.0,381070.6,368151.9,371609.9,410584.9,390046.3
"08000","Colorado","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5020530,5038340,5057629,5076942,5094559,5112432,5131488,5150072,5167340,5184592,5204311,5224650,5242534,5260921,5281593,5302999,5322563,5342297,5366342,5392848,5416935,5441500,5466231,5489361,5510636,5532392,5553813,5573234,5590505,5607931,5628134,5648978,5667513,5686872,5705573,5721755,5735770,5750513,5765979,5780371,5792330,5802805,5814775,5828171,5838464,5849598
"08000","Colorado","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",39934,40378,40984,41807,43159,43492,43939,43936,44915,45319,45030,47014,46473,47123,47588,48117,49583,50436,50974,51688,52152,52358,52214,52196,51915,52030,52320,52785,54073,54711,55338,56307,57305,57928,58731,59164,60594,60727,60798,61281,62278,65670,63313,63761,70324,66679
"09000","Connecticut","1","Personal income (millions of dollars, seasonally adjusted)",143431.1,145558.9,148500.0,150295.7,154849.0,156110.4,154497.0,154555.6,153157.1,154900.8,154919.6,155408.0,153205.9,155606.6,157983.6,160342.1,160032.2,163412.7,167184.0,169968.6,170281.1,173109.0,175038.8,179291.2,185903.8,188099.1,189094.5,192393.1,200840.4,203065.3,204334.1,205629.2,216194.5,218742.7,216218.2,213542.5,211263.6,212517.9,212086.8,214462.3,216975.9,221647.4,223074.7,222535.8,224075.7,227847.0,228669.6,227036.1,228651.8,231156.5,228599.1,236277.0,224780.3,225597.0,226493.0,227833.1,231637.3,235224.4,238584.5,241580.1,240932.5,242413.0,243587.2,245725.7,246104.6,246338.7,248533.6,250132.7,248946.0,251451.1,254106.9,257978.8,259481.5,262862.7,266286.2,268422.0,268835.0,269468.3,270045.8,272782.0,271831.6,285208.4,280636.9,280772.6,303286.2,290146.7
"09000","Connecticut","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3572541,3576614,3580984,3583954,3585629,3587381,3589931,3592076,3593243,3594356,3596017,3596976,3596110,3595567,3596230,3596926,3596282,3595694,3595527,3594551,3591851,3589395,3587986,3586373,3583476,3580783,3579838,3579440,3577592,3575730,3575813,3576304,3575169,3574474,3574066,3572588,3569578,3566936,3565941,3565302,3562853,3559122,3555590,3552301,3548297,3544930
"09000","Connecticut","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",60734,61971,62294,62092,62493,63513,63697,63205,63634,64311,63570,65688,62507,62743,62981,63341,64410,65418,66356,67207,67078,67536,67890,68516,68678,68795,69426,69880,69585,70322,71063,72136,72579,73539,74505,75134,75313,75546,75729,76510,76296,80134,78928,79040,85474,81848
"10000","Delaware","1","Personal income (millions of dollars, seasonally adjusted)",26065.8,26696.8,26902.0,26916.4,28829.5,29246.7,29600.8,29839.8,30133.8,30277.3,30499.4,30525.4,30382.7,30884.4,31499.9,31780.8,31373.5,32188.2,32451.4,33504.8,32558.6,32852.9,33061.7,34622.6,34799.6,35438.8,35497.5,35365.5,36052.1,36557.5,36327.4,36584.6,35600.8,37134.9,36434.4,35410.6,36453.8,36445.8,36387.9,36444.2,35775.8,36458.9,37320.5,37796.0,39467.0,39772.9,40182.8,40277.3,39794.7,40299.7,40098.2,41380.6,40525.3,41058.3,41205.8,41611.9,42202.7,42781.1,43327.8,43814.9,44586.8,45287.2,45273.3,45717.2,45836.7,46173.0,46626.5,47143.0,47523.2,48169.0,48879.0,49711.6,50212.9,50970.5,51752.7,52305.7,51952.9,52343.5,52663.8,53190.2,53837.3,57113.7,55086.5,55392.0,61364.8,57229.8
"10000","Delaware","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",897035,898798,900783,902941,904794,906608,908690,910817,912725,914544,916774,919131,921048,922974,925323,927790,929931,932018,934449,936917,938933,940946,943197,945356,947144,948977,951141,953362,955159,956930,959247,961731,963738,965828,968363,971005,973173,975438,978226,981245,983714,985835,988196,990851,992986,995225
"10000","Delaware","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",39882,40564,41431,41859,43620,43870,44221,44221,43600,44065,43738,45021,43999,44485,44531,44851,45383,45902,46367,46765,47487,48129,48000,48360,48395,48656,49022,49449,49754,50337,50956,51690,52102,52774,53443,53868,53385,53662,53836,54207,54729,57934,55745,55903,61798,57504
"11000","District of Columbia","1","Personal income (millions of dollars, seasonally adjusted)",24416.1,24637.9,24969.2,25567.6,25551.4,25799.0,25816.7,25946.0,25420.9,25813.1,25989.7,26280.9,25656.0,25974.0,26309.4,26690.9,27713.0,28147.6,28550.1,29339.9,29297.6,29849.4,30250.2,30716.5,31198.6,31697.7,32073.5,32417.6,33521.6,34074.0,34714.6,35142.4,34754.6,35700.8,35551.1,35309.4,35537.7,35560.6,35531.7,35843.9,37352.0,38084.0,38605.2,39256.4,40830.7,41176.9,41689.0,41883.4,42550.9,42954.6,42599.8,43937.0,43233.1,43619.0,43728.4,44208.8,45812.6,46483.2,47193.7,47631.5,49652.2,50278.7,50598.2,50820.0,51987.7,52481.1,52877.5,53391.5,53631.2,54124.6,54639.6,55417.5,55663.6,56310.7,57041.7,57275.5,56650.9,57001.5,57384.1,57924.9,58603.7,63205.1,62966.0,62049.7,66176.3,64435.3
"11000","District of Columbia","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",600267,603527,607269,611142,614809,618415,622323,626260,630066,633806,637854,641931,645734,649554,653127,656243,659182,662096,665403,668905,672122,675352,678423,681140,683675,686241,688837,691333,693614,695871,698034,699919,701537,703243,704730,705863,706753,707718,709015,710462,711598,712460,713198,713905,714667,715603
"11000","District of Columbia","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",62226,63102,63572,64235,66412,66585,66989,66879,67534,67772,66786,68445,66952,67152,66952,67366,69499,70206,70925,71208,73874,74448,74582,74610,76042,76476,76763,77230,77321,77780,78276,79177,79345,80073,80941,81143,80157,80543,80935,81531,82355,88714,88287,86916,92597,90043
